SYMBOL,BEST_BID_PRICE,BEST_BID_SIZE,BEST_OFFER_PRICE,BEST_OFFER_SIZE
AAPL,153.50,600,153.40,550
GOOGL,2742.00,200,2740.75,150
AMZN,3581.50,400,3580.25,350
TSLA,818.00,150,817.50,100
MSFT,306.10,400,306.00,350
SPY,445.60,800,445.40,750
QQQ,375.20,200,375.10,150
DJI,35455.00,500,35453.75,450
VIX,20.90,60,20.80,50
XOM,72.30,300,72.20,250
FB,335.40,400,335.30,350
NVDA,243.50,150,243.40,100
BRK.B,297.80,300,297.70,250
T,32.70,400,32.60,350
JPM,154.60,200,154.50,150
WMT,144.70,700,144.60,650
GE,99.30,300,99.20,250
NFLX,572.00,200,571.75,150
PG,145.10,1000,145.00,900
GM,64.30,400,64.20,350
TGT,204.40,150,204.30,100
IBM,139.40,200,139.30,150
CSCO,55.30,500,55.20,450
KO,60.50,400,60.40,350
V,255.20,300,255.10,250
XOM,72.50,600,72.40,550
F,17.20,300,17.10,250
INTC,59.70,200,59.60,150
PEP,168.40,200,168.30,150
DIS,185.60,1000,185.50,900
WFC,49.30,400,49.20,350
CMCSA,78.50,300,78.40,250
CAT,208.20,800,208.10,750
PM,108.30,200,108.20,150
JNJ,168.50,400,168.40,350
HD,358.70,300,358.60,250
PFE,50.40,500,50.30,450
NKE,168.80,800,168.70,750
VZ,59.60,300,59.50,250
MRK,88.60,200,88.50,150
CVX,108.30,400,108.20,350
MS,98.80,700,98.70,650
BA,228.40,300,228.30,250
AAP,188.60,700,188.50,650
KHC,46.40,500,46.30,450
ABT,128.40,400,128.30,350
KMB,138.60,700,138.50,650
MCD,260.30,200,260.20,150
